Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    	Param3      Std    	Param4      Std    Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
0  0.5478  0.4667  1.494  0.2777  0.1159  0.2205  2.191  0.3613  1.081  0.4386 0  0 	9.9841e+06  2.7027e+05 	8.9929e+07  2.8235e+05 	0  0 	0  0 	0  0 	0  0 	1.9964e+07  3.1786e+05 	8.0017e+07  3.3111e+05 	0  0 	9.9449e+06  3.2083e+05 	5.0012e+07  2.0862e+05 	0  0 	9.9983e+06  2.6346e+05 	3.997e+07  2.543e+05 	
1   0.5478  0.4667  1.494  0.2777  0.1159  0.2205  2.191  0.3613  1.081  0.4386 0  0 	9.9864e+06  2.7024e+05 	8.987e+07  2.8316e+05 	0  0 	0  0 	0  0 	0  0 	1.9961e+07  3.1784e+05 	7.9994e+07  3.3111e+05 	0  0 	9.9403e+06  3.2081e+05 	5e+07  2.0859e+05 0  0 	9.9918e+06  2.6344e+05 	3.997e+07  2.5427e+05
2   0.4612  0.4484  1.394  0.232  0.1154  0.2222  2.055  0.2989  1.059  0.4414 0  0 	1.0005e+07  2.6995e+05 	8.9808e+07  2.8401e+05 	0  0 	0  0 	0  0 	0  0 	1.995e+07  3.1774e+05 	8.0002e+07  3.3111e+05 	0  0 	9.9604e+06  3.2114e+05 	4.9975e+07  2.0855e+05 	0  0 	9.988e+06  2.6342e+05 	3.9968e+07  2.543e+05 
3   0.485  0.4358  1.44  0.2465  0.1373  0.231  1.879  0.3844  1.123  0.4422 0  0 	1.0006e+07  2.6995e+05 	8.9745e+07  2.8475e+05 	0  0 	0  0 	0  0 	0  0 	1.9955e+07  3.1777e+05 	7.9989e+07  3.3111e+05 	0  0 	9.9748e+06  3.2136e+05 	4.9966e+07  2.0854e+05 	0  0 	9.9768e+06  2.6338e+05 	3.9962e+07  2.5433e+05
4   0.5424  0.4789  1.521  0.2179  0.09825  0.2864  2.07  0.32  1.095  0.4607 0  0 	1.0003e+07  2.6998e+05 	8.9662e+07  2.8577e+05 	0  0 	0  0 	0  0 	0  0 	1.9954e+07  3.1773e+05 	7.9976e+07  3.3113e+05 	0  0 	9.9915e+06  3.2164e+05 	4.9947e+07  2.085e+05 	0  0 	9.9652e+06  2.6334e+05 	3.9954e+07  2.5444e+05 	
5   0.4929  0.4682  1.459  0.1993  0.1055  0.293  1.967  0.3536  1.097  0.4607 0  0 	9.9869e+06  2.7022e+05 	8.9577e+07  2.8706e+05 	0  0 	0  0 	0  0 	0  0 	1.9992e+07  3.1807e+05 	7.9942e+07  3.3116e+05 	0  0 	1.0011e+07  3.2201e+05 	4.9924e+07  2.0846e+05 	0  0 	9.9735e+06  2.6337e+05 	3.9951e+07  2.5442e+05 	
6   0.5148  0.4738  1.484  0.2031  0.1015  0.2945  1.981  0.3716  1.119  0.4639 0  0 	9.9808e+06  2.7034e+05 	8.9511e+07  2.8805e+05 	0  0 	0  0 	0  0 	0  0 	1.9978e+07  3.1791e+05 	7.9925e+07  3.3118e+05 	0  0 	1.0054e+07  3.2268e+05 	4.9897e+07  2.0844e+05 	0  0 	9.9745e+06  2.6338e+05 	3.9954e+07  2.5433e+05 	
7   0.5171  0.4757  1.49  0.1968  0.09651  0.301  2.024  0.3579  1.118  0.4589 0  0 	9.96e+06  2.7068e+05 	8.9458e+07  2.8888e+05 	0  0 	0  0 	0  0 	0  0 	1.9995e+07  3.1806e+05 	7.9908e+07  3.3123e+05 	0  0 	1.0067e+07  3.2293e+05 	4.9883e+07  2.0844e+05 	0  0 	9.9854e+06  2.6344e+05 	3.9955e+07  2.5429e+05 
