Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
800.0   0.7801  0.7147  1.761  0.2835  0.0829  0.3126  2.957  0.5227  1.288  0.3568 -1.6097e+07  9.7005e+05 	8.9188e+05  2.6895e+05 	3.5573e+07  5.1564e+05 	-1.3325e+07  8.253e+05 	2.0614e+06  2.9703e+05 	4.6752e+07  5.9524e+05 	1.0014e+07  8.5324e+05 	3.0764e+06  3.2492e+05 	5.106e+07  4.7167e+05 	1.5974e+06  1.0806e+06 	4.5906e+06  3.1581e+05 	2.7745e+07  6.6124e+05 	5.6232e+05  8.9369e+05 	-1.8952e+06  3.2327e+05 	2.5815e+07  5.5666e+05 	
1600.0   0.6683  0.6549  1.648  0.2503  0.101  0.3106  2.494  0.605  1.308  0.3824 -3.1273e+07  9.4993e+05 	2.0661e+06  2.6909e+05 	3.2524e+07  5.0371e+05 	-2.4031e+07  8.1463e+05 	7.0253e+06  2.9852e+05 	7.4034e+07  5.0996e+05 	1.9433e+07  8.2816e+05 	6.0027e+06  3.2379e+05 	6.4345e+07  4.3886e+05 	1.0904e+06  1.0819e+06 	1.1108e+07  3.0198e+05 	2.5365e+07  6.6957e+05 	1.4195e+05  8.9336e+05 	-5.5193e+06  3.1601e+05 	2.2458e+07  5.4751e+05 	
2400.0   0.5326  0.5832  1.532  0.2052  0.08985  0.2632  2.523  0.3054  1.204  0.3926 -2.9055e+07  9.458e+05 	2.743e+06  2.6771e+05 	2.7204e+07  4.4864e+05 	-2.0243e+07  8.1182e+05 	9.0913e+06  2.7481e+05 	7.4055e+07  3.9641e+05 	1.7051e+07  8.1892e+05 	5.8086e+06  3.2327e+05 	6.5854e+07  4.2356e+05 	4.8433e+06  1.0755e+06 	1.0995e+07  2.9251e+05 	2.2152e+07  6.6146e+05 	1.0144e+06  8.9362e+05 	-3.4554e+06  3.1166e+05 	2.0388e+07  5.2797e+05 	
3200.0   0.4584  0.4871  1.432  0.2457  0.1293  0.1829  2.113  0.4356  1.184  0.3659 -2.7931e+07  9.9227e+05 	4.1951e+06  2.6687e+05 	3.5623e+06  3.3216e+05 	-1.471e+07  8.1971e+05 	1.617e+07  2.577e+05 	7.9911e+07  5.9246e+05 	2.0204e+07  8.1251e+05 	3.1473e+06  3.3267e+05 	6.9212e+07  4.1488e+05 	1.2878e+07  1.077e+06 	1.3922e+07  2.9131e+05 	1.6428e+07  6.5344e+05 	9.6501e+05  8.9467e+05 	-2.495e+06  3.1367e+05 	1.6464e+07  5.3662e+05 	
4000.0   0.2649  0.3453  1.07  0.2546  0.18  0.113  2.376  0.5644  1.042  0.3392 -2.8091e+07  9.7773e+05 	4.6105e+06  2.6645e+05 	-2.6238e+06  1.1443e+05 	-1.4736e+07  8.1139e+05 	1.6575e+07  2.5105e+05 	7.2555e+07  2.9349e+05 	2.2906e+07  8.0098e+05 	9.3606e+05  3.1101e+05 	7.5309e+07  4.026e+05 	1.7374e+07  1.0675e+06 	1.4595e+07  2.8853e+05 	1.6772e+07  6.5057e+05 	1.3795e+06  8.9074e+05 	-1.7928e+06  3.0457e+05 	1.4655e+07  5.2516e+05 
4800.0   0.1553  0.1777  0.3891  0.113  0.1375  0.3072  1.539  0.6424  0.9113  0.3857 -3.7321e+07  1.0383e+06 	1.7243e+06  2.7333e+05 	-9183.3  2737.6 	-1.6924e+07  8.0094e+05 	1.7001e+07  2.5688e+05 	7.4003e+07  2.4068e+05 	2.191e+07  7.9632e+05 	-3.3562e+05  3.0702e+05 	7.7066e+07  3.8537e+05 	1.6373e+07  1.0593e+06 	1.6409e+07  2.8981e+05 	2.0518e+07  6.44e+05 	3.5893e+05  8.8929e+05 	-2.9622e+06  3.0532e+05 	1.5537e+07  5.1255e+05 	
5600.0   0.3738  0.3532  0.2771  0.115  0.07689  0.1926  1.35  0.8521  1.001  0.3972 -3.5444e+07  1.0942e+06 	5.022e+05  2.6188e+05 	-7189.6  2962.3 	-1.434e+07  8.0234e+05 	1.6105e+07  2.5299e+05 	6.8817e+07  1.1678e+05 	1.8889e+07  7.8954e+05 	-1.4749e+06  3.0451e+05 	7.6275e+07  4.5522e+05 	1.8643e+07  1.065e+06 	1.6157e+07  2.8763e+05 	2.25e+07  6.2865e+05 	1.054e+06  8.8431e+05 	-2.41e+06  3.0333e+05 	1.5581e+07  5.0555e+05 
6400.0   0.4951  0.3178  0.5241  0.1871  0.1476  0.04561  1.497  0.9572  1.157  0.4279 -3.4999e+07  1.3842e+06 	1.3974e+06  2.9024e+05 	-19003  2858.1 	-1.7911e+07  8.3192e+05 	1.5532e+07  2.6077e+05 	6.9892e+07  1.0942e+05 	2.3335e+07  7.8148e+05 	-1.1868e+06  3.1424e+05 	7.8531e+07  6.5164e+05 	1.2763e+07  1.0854e+06 	1.6815e+07  3.113e+05 	2.2407e+07  6.194e+05 	-9.2459e+05  8.6446e+05 	-2.8377e+06  3.141e+05 	1.4765e+07  4.9943e+05 	
7200.0   0.6703  0.2841  0.6339  0.2763  0.1734  0.03227  1.343  1.024  1.103  0.4445 -1.4296e+07  2.0048e+06 	5.8978e+06  3.7265e+05 	3256.8  2991.5 	-1.3054e+07  9.1727e+05 	1.4165e+07  2.9224e+05 	6.948e+07  1.0671e+05 	2.2553e+07  7.9083e+05 	4.3082e+05  3.3735e+05 	6.8881e+07  1.0781e+06 	2.3072e+06  1.2337e+06 	1.3818e+07  3.6881e+05 	2.2268e+07  6.2168e+05 	-6.0053e+06  8.5903e+05 	-9.203e+05  3.3268e+05 	1.3275e+07  5.1678e+05 	
8000.0   0.7702  0.2758  0.7136  0.256  0.145  0.04773  1.276  1.211  1.176  0.4216 -5.3941e+06  2.3193e+06 	9.3814e+06  4.2231e+05 	25217  2942.2 	-1.0881e+07  9.8148e+05 	1.385e+07  3.1229e+05 	6.7706e+07  99397 	2.3023e+07  8.0896e+05 	1.6565e+06  3.5954e+05 	6.8588e+07  1.2915e+06 	5.6065e+06  1.3133e+06 	1.3471e+07  3.9816e+05 	2.3408e+07  6.1192e+05 	-1.3188e+07  8.5689e+05 	-85558  3.3789e+05 	9.8182e+06  5.3091e+05 	
