Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
8800.0   0.671  0.3152  0.6081  0.174  0.09214  0.1108  1.229  1.079  1.128  0.4028 -1.2138e+07  2.4494e+06 	9.8874e+06  4.1895e+05 	24005  2850.4 	-1.5864e+07  1.02e+06 	1.462e+07  3.2308e+05 	6.6963e+07  94538 	3.1756e+07  7.8579e+05 	3.4304e+06  3.6738e+05 	7.2482e+07  1.3682e+06 	5.0785e+06  1.3323e+06 	1.3772e+07  4.0615e+05 	1.7277e+07  6.2603e+05 	-1.6618e+07  8.4746e+05 	-2.7529e+05  3.3624e+05 	9.5168e+06  5.2249e+05 	
9600.0   0.6506  0.3472  0.6047  0.1666  0.07848  0.1539  1.263  1.093  1.156  0.4031 -3.019e+07  1.9827e+06 	5.1235e+06  3.0558e+05 	21847  2802.9 	-1.8482e+07  9.5072e+05 	1.6462e+07  2.945e+05 	6.6669e+07  88400 	3.5143e+07  7.5373e+05 	1.4314e+06  3.3005e+05 	8.5109e+07  1.0124e+06 	1.4868e+07  1.1307e+06 	1.5413e+07  3.5237e+05 	1.5463e+07  6.2418e+05 	-1.5051e+07  8.3441e+05 	-1.5309e+06  3.1151e+05 	6.3756e+06  4.6832e+05 	
10400.0   0.7374  0.3134  0.6413  0.2236  0.09234  0.1309  1.384  1.172  1.186  0.4279 -2.7905e+07  1.7063e+06 	3.1864e+06  2.3943e+05 	30656  2740.8 	-1.395e+07  9.094e+05 	1.7073e+07  2.7475e+05 	6.7813e+07  88012 	2.8961e+07  7.4962e+05 	9.5789e+05  3.1297e+05 	8.4121e+07  8.7068e+05 	1.3429e+07  1.1081e+06 	1.2552e+07  3.5086e+05 	1.5903e+07  5.8983e+05 	-2.2903e+07  8.238e+05 	-1.0333e+06  3.0052e+05 	1.9367e+06  4.3813e+05 	
11200.0   0.7103  0.3173  0.6136  0.2197  0.1092  0.1034  1.428  1.094  1.158  0.4213 -3.5062e+07  1.1816e+06 	1.6812e+06  1.8861e+05 	60832  2698.1 	-2.3327e+07  7.7233e+05 	1.624e+07  2.5186e+05 	6.8093e+07  81356 	3.208e+07  6.9681e+05 	-1.4766e+06  2.7975e+05 	8.9319e+07  5.425e+05 	1.0496e+07  9.7421e+05 	1.4498e+07  2.6388e+05 	1.8244e+07  5.4198e+05 	-2.3049e+07  7.8254e+05 	-2.8963e+06  2.8232e+05 	2.1514e+06  3.7867e+05 	
12000.0   0.6488  0.3365  0.5374  0.2208  0.1454  0.03788  1.52  1.051  1.133  0.4335 -2.2024e+07  1.138e+06 	2.3564e+06  1.6838e+05 	68927  2582.3 	-1.5972e+07  7.8084e+05 	1.6115e+07  2.3948e+05 	6.7465e+07  78438 	2.887e+07  6.8037e+05 	-2.7097e+06  2.7294e+05 	8.3263e+07  5.4731e+05 	6.988e+06  9.3769e+05 	1.2904e+07  2.5799e+05 	1.4426e+07  5.2077e+05 	-2.3444e+07  7.5723e+05 	-1.9993e+06  2.8164e+05 	-4.6341e+06  1.6749e+05 	
12800.0   0.6198  0.3593  0.5165  0.2256  0.1644  0.03539  1.441  1.047  1.151  0.4256 -6.5105e+06  1.0706e+06 	2.4599e+06  1.7692e+05 	61276  2524.8 	-1.6082e+07  7.2024e+05 	1.515e+07  2.592e+05 	6.7725e+07  91082 	3.3118e+07  6.6775e+05 	-1.1179e+06  2.7761e+05 	7.6057e+07  7.1202e+05 	1.8858e+06  1.0138e+06 	1.2143e+07  2.2788e+05 	1.3029e+07  5.0201e+05 	-3.2131e+07  8.402e+05 	-2.6266e+06  2.792e+05 	5749.8  2858.6 
13600.0   0.588  0.3592  0.4678  0.2143  0.1501  0.04538  1.527  0.9858  1.114  0.4133 1.8387e+06  1.2093e+06 	3.956e+06  1.8614e+05 	45478  2473.3 	-1.5292e+07  7.116e+05 	1.3134e+07  2.9748e+05 	6.8952e+07  1.1052e+05 	3.122e+07  6.3607e+05 	-3.0145e+05  2.5171e+05 	6.6064e+07  8.8989e+05 	-3.137e+06  1.0161e+06 	1.2183e+07  2.2321e+05 	1.3291e+07  5.1131e+05 	-3.8245e+07  9.5472e+05 	-3.0402e+06  2.7834e+05 	13654  2821 	
14400.0   0.568  0.3551  0.4657  0.1978  0.1351  0.0682  1.491  0.9838  1.129  0.4011 1.0527e+07  1.686e+06 	4.9605e+06  2.1317e+05 	53887  2450.7 	-1.094e+07  7.4397e+05 	1.0536e+07  3.8034e+05 	6.9524e+07  1.4752e+05 	2.4572e+07  6.2122e+05 	-1.3224e+06  2.5187e+05 	5.8732e+07  1.3472e+06 	-1.1861e+07  1.2571e+06 	1.1127e+07  2.1985e+05 	1.0857e+07  5.1887e+05 	-4.6743e+07  1.3623e+06 	-4.7969e+06  3.2775e+05 	36636  2807.3 	
15200.0   0.5618  0.3428  0.4591  0.176  0.1141  0.09042  1.489  0.9287  1.098  0.3883 4.439e+06  2.3052e+06 	3.8181e+06  2.5211e+05 	47957  2421.5 	-9.0264e+06  8.3153e+05 	1.3247e+07  4.4737e+05 	6.8658e+07  1.8798e+05 	3.2949e+07  5.8238e+05 	-1.3799e+06  2.6612e+05 	6.3638e+07  1.9246e+06 	-4.561e+06  1.4146e+06 	1.0177e+07  2.171e+05 	2.0001e+06  4.3635e+05 	-4.2591e+07  1.8191e+06 	-3.537e+06  3.5197e+05 	7654.7  2643.3 	
16000.0   0.6387  0.2902  0.532  0.1899  0.09997  0.09989  1.413  1.05  1.128  0.3987 2.6943e+07  3.1222e+06 	6.6937e+06  3.174e+05 	38077  2419.4 	-2.8468e+06  9.9945e+05 	8.4574e+06  5.7215e+05 	7.0749e+07  2.5171e+05 	3.2949e+07  5.7461e+05 	73021  2.9716e+05 	4.1293e+07  2.6883e+06 	-1.565e+07  1.7861e+06 	1.043e+07  2.1409e+05 	-2.0699e+06  3.9889e+05 	-6.2526e+07  2.4029e+06 	-7.7872e+06  3.9637e+05 	24058  2648.1 	
16800.0   0.714  0.2439  0.5955  0.2013  0.07522  0.1432  1.362  1.188  1.18  0.3676 2.4765e+07  3.9923e+06 	6.8654e+06  3.9143e+05 	39734  2463.5 	-6.2778e+06  1.1197e+06 	8.2966e+06  7.2776e+05 	7.0676e+07  3.2849e+05 	3.3107e+07  5.6937e+05 	1.7747e+05  3.3876e+05 	4.2794e+07  3.4842e+06 	-2.0829e+07  2.2775e+06 	9.9388e+06  2.1462e+05 	-12101  3008.1 	-6.2453e+07  3.1015e+06 	-9.683e+06  5.0373e+05 	19393  2626.6 	
