Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
544640.0   0.7479  0.6434  1.709  0.3076  0.06956  0.3139  2.608  0.4911  1.201  0.3564 1.5234e+06  4.3988e+05  -3.0444e+05  1.5656e+05         4.3866e+07  6.8388e+05  -1.6186e+06  4.3654e+05         3.1504e+05  1.6705e+05  5.3528e+07  6.0792e+05  -2.4231e+06  5.928e+05  -4.8216e+06  2.207e+05  4.1644e+07  2.6009e+05  -7.0204e+06  4.5468e+05         3.2461e+05  1.5215e+05  2.7211e+07  2.6175e+05  9.0784e+06  4.4151e+05  3.114e+05  1.3607e+05   2.4633e+07  3.4986e+05
545640.0   0.745  0.6469  1.706  0.3061  0.06521  0.3083  2.66  0.4856  1.185  0.355 1.2025e+06  4.4919e+05     -2.6212e+05  1.5767e+05         4.6684e+07  7.884e+05   -1.9764e+06  4.3534e+05         7.2791e+05  1.8052e+05  5.6289e+07  7.6982e+05  -4.5111e+06  6.5434e+05         -5.3457e+06  2.5507e+05         4.0656e+07  2.7947e+05  -7.6611e+06  4.7628e+05         38392  1.5213e+05       2.7109e+07  2.6478e+05  9.1417e+06  4.4137e+05  2.3913e+05  1.385e+05   2.4272e+07  3.6592e+05
546640.0   0.738  0.6442  1.697  0.3066  0.06334  0.2991  2.659  0.4925  1.183  0.3521 1.235e+06  4.4886e+05    -4.8636e+05  1.5729e+05         4.5807e+07  8.1286e+05  -1.9817e+06  4.3559e+05         6.6078e+05  1.81e+05    5.3849e+07  7.7937e+05  -4.1193e+06  6.6502e+05         -4.8323e+06  2.5814e+05         3.9903e+07  2.7974e+05  -7.2902e+06  4.8117e+05         17311  1.5203e+05       2.7341e+07  2.6522e+05  8.7108e+06  4.4165e+05  1.6372e+05  1.3821e+05  2.4973e+07  3.6621e+05
547640.0   0.7308  0.6377  1.688  0.307  0.06788  0.2983  2.594  0.4967  1.196  0.3555 7.8482e+05  4.5077e+05   -36147  1.5951e+05      4.512e+07  7.4479e+05   -1.7257e+06  4.3464e+05         6.9479e+05  1.7716e+05  5.5823e+07  8.3034e+05  -3.8018e+06  6.3053e+05         -5.2825e+06  2.6306e+05         4.0223e+07  2.6348e+05  -7.2897e+06  4.7063e+05         2.4124e+05  1.5299e+05  2.7074e+07  2.6757e+05  8.7718e+06  4.4503e+05  2.6928e+05  1.3885e+05  2.409e+07  3.7875e+05
548640.0   0.7384  0.6361  1.698  0.3088  0.07034  0.3067  2.554  0.4949  1.202  0.3571 9.7134e+05  4.4932e+05  1.7898e+05  1.5975e+05  4.3155e+07  6.7455e+05  -1.3656e+06  4.3408e+05         4.8247e+05  1.7244e+05  5.5103e+07  7.5378e+05  -2.8053e+06  6.0956e+05         -4.9239e+06  2.436e+05  4.0681e+07  2.6689e+05  -6.4468e+06  4.4991e+05         1.8187e+05  1.5267e+05  2.7174e+07  2.6555e+05  8.3684e+06  4.39e+05    2.2346e+05  1.3779e+05  2.4016e+07  3.7155e+05
534640.0   0.7074  0.6399  1.683  0.2728  0.0876  0.3  2.59  0.6181  1.26  0.3789 -1.6427e+06  4.3689e+05 	-1.5962e+06  1.6077e+05 	3.9968e+07  2.5738e+05 	2.0845e+06  4.5821e+05 	2.6339e+06  1.5444e+05 	6.475e+07  3.014e+05 	6.7668e+05  4.8484e+05 	-5.8801e+06  1.4522e+05 	4.8531e+07  2.8254e+05 	-5.8599e+06  4.5014e+05 	1.03e+06  1.0133e+05 2.8828e+07  2.8823e+05 	6.2848e+06  3.2191e+05 	1.4228e+05  1.4887e+05 	2.7138e+07  2.8291e+05 	
535640.0   0.6783  0.6002  1.645  0.278  0.08292  0.2924  2.429  0.5168  1.24  0.3767 -2.6007e+06  4.3882e+05 	-3.6027e+06  1.6875e+05 	3.1493e+07  2.8246e+05 	4.4176e+06  4.6142e+05 	4.8049e+06  1.6779e+05 	7.6459e+07  4.1725e+05 	1.2533e+06  4.8627e+05 	-7.7328e+06  1.5158e+05 	5.2808e+07  2.9788e+05 	-6.7992e+06  4.506e+05 	1.4686e+06  1.0031e+05 	3.1861e+07  2.844e+05 	5.7357e+06  3.2166e+05 	3.6185e+05  1.4913e+05 	2.9019e+07  2.8422e+05 	
536640.0   0.6708  0.5853  1.641  0.2857  0.08245  0.2873  2.389  0.4767  1.242  0.3723 -2.4659e+06  4.3622e+05 	-3.4136e+06  1.6836e+05 	3.1629e+07  2.9442e+05 	3.7621e+06  4.5943e+05 	4.4715e+06  1.6735e+05 	7.4772e+07  4.1465e+05 	6.8517e+05  4.8167e+05 	-7.628e+06  1.5351e+05 	5.122e+07  2.8409e+05 	-7.2531e+06  4.5266e+05 	1.197e+06  1.0142e+05 	3.1321e+07  2.8385e+05 	6.297e+06  3.2207e+05 	5.1661e+05  1.5014e+05 	2.8188e+07  2.827e+05 	
537640.0   0.5895  0.5458  1.543  0.2669  0.1004  0.271  2.134  0.3888  1.212  0.3589 -6.0572e+06  4.431e+05 	-7.2115e+06  1.8484e+05 	1.8709e+07  3.6995e+05 	8.1173e+06  4.668e+05 8.6688e+06  1.9499e+05 	9.556e+07  6.1445e+05 	4.1203e+06  4.8612e+05 	-1.0861e+07  1.6832e+05 	5.9799e+07  3.1091e+05 	-9.342e+06  4.5414e+05 	1.7489e+06  1.0042e+05 	3.519e+07  2.8929e+05 	4.9789e+06  3.215e+05 	1.1391e+06  1.5119e+05 	3.1305e+07  2.8806e+05 	
538640.0   0.5633  0.5049  1.508  0.2914  0.1329  0.2178  2.178  0.3809  1.207  0.3417 -5.8784e+06  4.5e+05 	-6.425e+06  1.9064e+05 	2.1774e+07  3.6519e+05 	7.1835e+06  4.7039e+05 	7.6174e+06  2.0125e+05 	9.0116e+07  6.5249e+05 	3.4122e+06  4.9387e+05 	-1.0005e+07  1.7032e+05 	5.8099e+07  3.3497e+05 	-9.0709e+06  4.5457e+05 	1.6015e+06  1.0015e+05 	3.4102e+07  2.8729e+05 	5.2403e+06  3.2145e+05 	1.0524e+06  1.5141e+05 	3.024e+07  2.9079e+05 
539640.0   0.6233  0.4965  1.576  0.3215  0.148  0.1972  2.127  0.495  1.203  0.3381 -3.4208e+06  4.4825e+05 	-4.0817e+06  1.9398e+05 	2.9009e+07  4.2503e+05 	3.9235e+06  4.6528e+05 	5.3112e+06  2.0109e+05 	7.8239e+07  6.5867e+05 	5.3689e+05  4.8497e+05 	-8.297e+06  1.7814e+05 	5.0657e+07  3.0524e+05 	-8.3133e+06  4.6202e+05 	8.2767e+05  1.0231e+05 	3.1662e+07  2.8547e+05 	7.1807e+06  3.2228e+05 	9.7294e+05  1.5451e+05 	2.7836e+07  2.8421e+05 	
540640.0   0.6294  0.4962  1.6  0.3202  0.1428  0.1877  2.224  0.5437  1.185  0.3388 -4.9083e+06  4.4212e+05 	-5.9063e+06  1.866e+05 	2.2083e+07  3.9251e+05 	5.611e+06  4.6221e+05 	7.0513e+06  1.9701e+05 	8.7225e+07  6.3022e+05 	1.7182e+06  4.8229e+05 	-9.836e+06  1.7587e+05 	5.4034e+07  2.8876e+05 	-9.6553e+06  4.6077e+05 	1.0085e+06  1.0339e+05 	3.3399e+07  2.8446e+05 	6.5603e+06  3.239e+05 	1.3927e+06  1.5391e+05 	2.8773e+07  2.836e+05 
541640.0   0.5548  0.4379  1.52  0.31  0.1746  0.1441  2.401  0.3911  1.123  0.3221 -9.3918e+06  4.5356e+05 	-8.7983e+06  2.097e+05 	1.6369e+07  4.7073e+05 	1.0734e+07  4.7531e+05 	1.0402e+07  2.3437e+05 	1.0224e+08  8.5178e+05 	7.7675e+06  4.896e+05 	-1.1506e+07  1.9362e+05 	6.5526e+07  3.319e+05 	-9.714e+06  4.6056e+05 	2.061e+06  1.0095e+05 	3.5715e+07  2.9483e+05 	3.3613e+06  3.213e+05 	1.4746e+06  1.5483e+05 	3.2852e+07  2.9372e+05 	
542640.0   0.3509  0.3346  1.186  0.3048  0.2344  0.1315  2.223  0.4629  0.9605  0.2916 -6.594e+06  4.5376e+05 	-7.5418e+06  1.8605e+05 	1.7271e+07  2.3397e+05 	8.7428e+06  4.7264e+05 	8.5534e+06  2.0435e+05 	9.5062e+07  6.581e+05 	4.6858e+06  5.0319e+05 	-1.0862e+07  1.6542e+05 	6.1729e+07  3.3924e+05 	-9.5421e+06  4.4949e+05 	1.9061e+06  99884 	3.5266e+07  2.7655e+05 	4.1793e+06  3.2004e+05 	1.187e+06  1.5035e+05 	3.1222e+07  2.9703e+05 
543640.0   0.2443  0.296  0.9614  0.34  0.2922  0.2295  2.273  0.5635  0.811  0.2797 -5.881e+06  4.4742e+05 	-6.1378e+06  1.7626e+05 	2.21e+07  1.4856e+05 	6.4687e+06  4.6913e+05 	7.6894e+06  1.7693e+05 	8.6482e+07  5.5964e+05 	1.6142e+06  5.1465e+05 	-9.1538e+06  1.6157e+05 	5.6093e+07  3.4908e+05 	-9.1804e+06  4.4758e+05 	1.1244e+06  1.0014e+05 	3.5177e+07  2.7061e+05 	5.1187e+06  3.1994e+05 	1.5296e+06  1.4781e+05 	2.8935e+07  2.9833e+05 	
544640.0   0.05509  0.2497  0.6105  0.3316  0.3275  0.3383  2.147  0.7278  0.6692  0.2396 -6.3751e+06  4.3564e+05 	-6.4367e+06  1.6171e+05 	2.2578e+07  82134 	8.0971e+06  4.5827e+05 	7.5365e+06  1.6553e+05 	9.0109e+07  3.6474e+05 	5.5781e+06  4.7686e+05 	-9.9806e+06  1.4274e+05 	6.0046e+07  2.7335e+05 	-8.7366e+06  4.4592e+05 	1.5929e+06  98944 	3.3306e+07  2.7245e+05 	4.5202e+06  3.1978e+05 	1.0698e+06  1.4766e+05 	3.0909e+07  2.8166e+05 
545640.0   0.1685  0.2042  0.3607  0.3532  0.3846  0.4164  1.956  0.9547  0.9203  0.2325 -4.6052e+06  4.3115e+05 	-3.9206e+06  1.7016e+05 	2.8753e+07  1.3389e+05 	6.7983e+06  4.5693e+05 	5.3702e+06  1.7718e+05 	7.8207e+07  4.5169e+05 	1.1944e+06  4.7051e+05 	-7.9432e+06  1.5134e+05 	5.199e+07  2.6572e+05 	-9.1182e+06  4.5527e+05 	6.3568e+05  1.0208e+05 	3.0331e+07  2.617e+05 	7.5336e+06  3.1942e+05 	9.7546e+05  1.5195e+05 	2.8209e+07  2.8198e+05 
546640.0   0.3724  0.2253  0.4299  0.2776  0.3981  0.5022  2.526  1.267  1.265  0.2473 -4.7822e+06  4.2538e+05 	-2.8135e+06  1.6343e+05 	3.2439e+07  1.6985e+05 	2.0211e+06  4.6783e+05 	3.8864e+06  1.6406e+05 	7.258e+07  3.9353e+05 	-2.3031e+05  4.5919e+05 	-7.7988e+06  1.4342e+05 	5.4451e+07  2.4638e+05 	-6.3314e+06  4.9673e+05 	1.5573e+06  1.0115e+05 	3.4298e+07  2.7965e+05 	6.77e+06  3.1091e+05 	2.8617e+05  1.455e+05 	3.0247e+07  2.9198e+05 	
547640.0   0.4224  0.2421  0.3069  0.2832  0.3915  0.4949  2.069  1.194  1.242  0.2398 -6.8374e+05  4.3306e+05 	-4.8838e+06  1.6331e+05 	2.4831e+07  69046 	5.3849e+06  4.2603e+05 	3.7965e+06  2.0379e+05 	7.9392e+07  4.1108e+05 	-7.5192e+06  4.4593e+05 	-8.8166e+06  1.4883e+05 	5.3988e+07  2.7363e+05 	-8.8514e+06  4.1472e+05 	2.2151e+06  1.124e+05 	3.516e+07  2.4634e+05 	8.6604e+06  3.1399e+05 	9.197e+05  1.5698e+05 	2.873e+07  2.6623e+05 /home/clementt/Documents/internshipReport/rapport_stage.pdf
