Time     NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std        Param2      Std         Param3      Std         Param4      Std         Param5      Std         Param6      Std         Param7      Std         Param8      Std         Param9      Std         Param10      Std        Param11      Std        Param12      Std        Param13      Std        Param14      Std        Param15      Std
800.0   0.8926  0.3352  0.5698  0.4995  0.4775  0.3733  5.803  4.088  3.275  0.2164 1.5477e+07  3.0804e+06 	-3.9153e+06  9.1105e+05 	3.0425e+07  5.5551e+05 	4.4597e+07  1.9886e+06 	8.8623e+06  8.5969e+05 	1.246e+07  4.0838e+05 	-5.6734e+06  2.676e+06 	2.1877e+06  8.5188e+05 	2.3894e+07  1.0477e+06 	-1.4808e+07  3.5236e+06 	1.8703e+06  1.0495e+06 	3.8294e+07  2.5504e+06 	0  0 	0  0 	0  0 	
1600.0   0.4051  0.5049  0.5017  0.6809  0.7927  0.776  3.875  1.179  2.07  0.8081 7.9802e+05  2.1742e+06 	-2.9447e+06  5.6631e+05 	3.226e+07  2.3714e+05 	6.1031e+07  7.9812e+05 	1.1987e+07  3.6694e+05 	1.0391e+07  1.4941e+05 	-1.686e+07  1.6775e+06 	-7.3198e+06  5.6312e+05 	2.8047e+07  3.6477e+05 	1.1115e+07  1.7507e+06 	8.0427e+06  6.3254e+05 	4.6873e+07  1.3696e+06 	0  0 	0  0 	0  0 	
2400.0   0.7296  0.325  0.378  0.7964  0.7574  0.5661  3.205  1.173  1.93  0.6144 -3.1481e+06  1.0074e+06 	-5.3784e+06  2.9e+05 	3.2066e+07  1.1124e+05 	5.7683e+07  4.735e+05 	1.2282e+07  2.6484e+05 	1.0246e+07  85584 	-1.1266e+07  1.0034e+06 	-5.7911e+06  3.1529e+05 	2.9446e+07  2.428e+05 	1.7671e+07  1.202e+06 	9.295e+06  3.6921e+05 	4.5932e+07  7.3983e+05 	0  0 	0  0 	0  0 	
3200.0   0.9918  0.448  0.7161  0.9981  1.073  1.042  3.595  1.392  2.154  0.4075 40934  4.495e+05 	-1.9348e+06  1.9424e+05 	3.1909e+07  69378 	6.3691e+07  2.1617e+05 	1.2961e+07  1.6313e+05 	9.6101e+06  37340 	-1.3888e+07  7.2766e+05 	-4.8494e+06  3.4166e+05 	3.1152e+07  1.2184e+05 	1.5764e+07  9.3244e+05 	4.8876e+06  3.5447e+05 	5.0299e+07  4.1992e+05 	0  0 	0  0 	0  0 	
4000.0   0.6905  0.6405  0.4688  1.103  1.213  1.274  4.266  1.709  2.378  0.2312 8.0402e+05  1.7788e+05 	-2.1745e+06  1.0459e+05 	3.1947e+07  31459 	6.3884e+07  1.1379e+05 	1.384e+07  86006 9.5948e+06  22480 	-1.4775e+07  3.5723e+05 	-4.8436e+06  1.531e+05 	3.0973e+07  56863 	2.0116e+07  5.2826e+05 	5.2069e+06  1.3363e+05 	5.2097e+07  2.5239e+05 	0  0 	0  0 	0  0 	
4800.0   0.293  0.7432  0.8349  1.227  1.244  1.196  4.55  1.22  2.315  0.03168 1.0256e+06  96955 	-2.2095e+06  67354 	3.238e+07  22760 	6.5094e+07  48419 	1.4516e+07  43276 	9.7354e+06  18534 	-1.4133e+07  2.8872e+05 	-4.3997e+06  1.3849e+05 	3.0617e+07  27317 	2.2342e+07  4.7779e+05 	4.3958e+06  91934 	5.0484e+07  2.348e+05 	0  0 	0  0 	0  0 	
5600.0   0.2974  0.6339  1.176  1.188  1.191  1.147  5.267  1.19  2.535  0.168 1.8151e+06  45889 	-2.0363e+06  38719 	3.2449e+07  17191 	6.5277e+07  27960 	1.4663e+07  41812 	9.8152e+06  11172 	-1.2915e+07  1.731e+05 	-3.8394e+06  94352 	3.0603e+07  11950 	2.3457e+07  3.2836e+05 	3.9848e+06  58706 	4.9116e+07  1.3708e+05 	0  0 	0  0 	0  0 	
6400.0   0.6899  0.5714  1.852  1.328  1.272  1.191  4.832  1.178  2.317  0.002829 1.7241e+06  28025 	-1.9313e+06  18789 	3.2399e+07  10705 	6.5234e+07  18744 	1.4544e+07  31419 9.7707e+06  5611.6 	-1.3555e+07  91354 	-4.1492e+06  51372 	3.0627e+07  9724.7 	2.2394e+07  1.7637e+05 	4.1464e+06  32278 	4.9729e+07  68649 	0  0 	0  0 	0  0 	
