Time	 NRMSE1  NRMSE2  NRMSE3  NRMSE4  NRMSE5  NRMSE6  NRMSE7  NRMSE8  NRMSE9  NRMSE10 Param1      Std    	Param2      Std    Param3      Std    	Param4      Std    	Param5      Std    	Param6      Std    	Param7      Std    	Param8      Std    	Param9      Std    	Param10      Std    	Param11      Std    	Param12      Std    	Param13      Std    	Param14      Std    	Param15      Std    	
800.0   0.8876  0.3968  1.791  0.7114  0.5607  0.3859  7.483  3.759  3.093  0.3902 5.057e+06  2.4152e+06 	-3.1135e+06  1.0413e+06 	3.5051e+07  3.4181e+05 	-1.2601e+07  3.5664e+06 	-8.6145e+06  9.2774e+05 	1.6491e+07  4.2041e+05 	2.258e+07  4.3668e+06 	-2.2724e+06  7.8874e+05 	2.9224e+07  1.1174e+06 	-3.2534e+07  3.0104e+06 	-7.0424e+06  8.3619e+05 	-3.317e+06  2.2946e+06 	0  0 	0  0 	0  0 	
1600.0   0.4234  0.5099  0.4592  1.156  1.125  1.065  3.894  1.358  2.2  0.7775 -8.0998e+06  1.9078e+06 	-1.3266e+05  6.5706e+05 	3.5369e+07  1.9206e+05 	1.0552e+06  2.5138e+06 	-9.1745e+06  6.8376e+05 	1.5959e+07  2.3584e+05 	3.5107e+07  1.7935e+06 	2.937e+06  5.4377e+05 	3.7295e+07  7.0047e+05 	-5.6893e+07  2.054e+06 	-7.4894e+06  5.2462e+05 	1.9615e+06  1.8178e+05 	0  0 	0  0 	0  0 	
2400.0   0.4994  0.458  0.3019  1.014  1.009  0.993  3.724  0.9494  1.862  0.9013 -6.2488e+06  1.0805e+06 	8.5472e+05  4.3982e+05 	3.6022e+07  1.084e+05 	1.639e+07  1.5802e+06 	-8.484e+06  4.2935e+05 	1.5188e+07  1.439e+05 	3.101e+07  9.5839e+05 	4.8426e+06  3.5992e+05 	3.4453e+07  4.1092e+05 	-6.5666e+07  1.4781e+06 	-1.2976e+07  4.3797e+05 	6.1918e+05  1.2672e+05 	0  0 	0  0 	0  0 	
3200.0   0.9664  0.5105  0.6326  0.9701  0.9375  0.864  4.489  1.265  2.327  0.6219 5.4944e+05  7.9535e+05 	1.5506e+06  3.1042e+05 	3.6775e+07  72385 	2.9904e+07  1.7882e+06 	-1.062e+07  2.2531e+05 	1.4881e+07  1.077e+05 	2.827e+07  5.0587e+05 	5.1216e+06  2.7039e+05 	3.503e+07  2.5169e+05 	-7.0316e+07  1.3646e+06 	-1.1642e+07  3.0107e+05 	5.2565e+05  96778 0  0 	0  0 	0  0 	
4000.0   1.122  0.5268  0.8366  1.063  1.044  1.006  4.603  1.302  2.471  0.04824 -8.1682e+05  5.8068e+05 	3.3216e+06  2.2178e+05 	3.6715e+07  61434 	2.5551e+07  1.4705e+06 	-1.171e+07  1.3891e+05 	1.5475e+07  68232 	2.924e+07  4.16e+05 	7.364e+06  2.0164e+05 	3.4131e+07  1.6929e+05 	-6.6844e+07  1.2532e+06 	-1.156e+07  2.74e+05 	2.0509e+05  99852 	0  0 	0  0 	0  0 	
4800.0   0.9223  0.5302  0.5649  1.125  1.1  1.06  4.199  1.231  2.339  0.7794 -1.6406e+06  6.3143e+05 	5.3459e+06  1.6576e+05 	3.6311e+07  46696 	3.0896e+07  1.5434e+06 	-1.0734e+07  1.0941e+05 	1.4965e+07  84338 	2.9616e+07  3.0207e+05 	7.0467e+06  1.5005e+05 	3.299e+07  1.2542e+05 	-6.7234e+07  1.0677e+06 	-1.2239e+07  2.8188e+05 	4.1222e+05  1.0167e+05 	0  0 	0  0 	0  0 	
5600.0   0.6328  0.5436  0.2983  1.177  1.164  1.15  4.072  1.059  2.157  1.595 1.0122e+06  7.8118e+05 	4.8307e+06  1.262e+05 	3.6824e+07  53505 	3.5628e+07  1.7122e+06 	-1.1107e+07  63258 	1.4737e+07  85960 	3.1855e+07  2.3079e+05 	7.7492e+06  90879 	3.4403e+07  74407 	-7.1429e+07  1.1717e+06 	-1.215e+07  2.5253e+05 	-72937  1.0915e+05 	0  0 	0  0 	0  0 	
6400.0   0.5027  0.5628  0.3448  1.25  1.235  1.22  3.914  1.038  2.142  2.197 2.9833e+06  5.7785e+05 	4.5749e+06  1.0646e+05 	3.7014e+07  44017 	3.8315e+07  9.8548e+05 	-1.0727e+07  45654 	1.4489e+07  43482 	3.1813e+07  1.8969e+05 	7.3856e+06  58629 	3.4207e+07  50006 	-7.3211e+07  6.4448e+05 	-1.3088e+07  1.381e+05 	-57983  32364 	0  0 	0  0 	0  0 	
7200.0   0.3984  0.5745  0.5091  1.337  1.322  1.313  3.905  1.088  2.164  2.777 7.2928e+06  4.2546e+05 	3.3511e+06  91671 3.7454e+07  35143 	4.3164e+07  6.9123e+05 	-1.0701e+07  38222 	1.4207e+07  31907 	3.2042e+07  1.4095e+05 	7.4083e+06  44550 	3.4134e+07  39477 	-7.6903e+07  4.7927e+05 	-1.4203e+07  1.0664e+05 	-526.8  4887.2 	0  0 	0  0 	0  0 
